id,mode,start_timestamp,end_timestamp,miles,start_date,start_time,end_date,end_time
1566,/dbw_joy/ackermann_cmd,2017-04-26 21:03:00,2017-04-26 21:05:00,0.019424599999999997,2017-04-26,21:03:00,2017-04-26,21:05:00
1567,/dbw_joy/ackermann_cmd,2017-04-26 21:05:00,2017-04-26 21:06:00,0.00682887,2017-04-26,21:05:00,2017-04-26,21:06:00
1568,/dbw_joy/ackermann_cmd,2017-04-26 21:06:00,2017-04-26 21:06:00,0.0017102,2017-04-26,21:06:00,2017-04-26,21:06:00
1569,/trajectory_follow/ackermann_cmd,2017-04-26 21:06:00,2017-04-26 21:10:00,0.18121600000000002,2017-04-26,21:06:00,2017-04-26,21:10:00
1570,/dbw_joy/ackermann_cmd,2017-04-26 21:10:00,2017-04-26 21:10:00,0.0013334000000000002,2017-04-26,21:10:00,2017-04-26,21:10:00
1571,/dbw_joy/ackermann_cmd,2017-04-26 21:52:00,2017-04-26 21:52:00,0.026107299999999996,2017-04-26,21:52:00,2017-04-26,21:52:00
1572,/trajectory_follow/ackermann_cmd,2017-04-26 21:10:00,2017-04-26 21:51:00,0.0161475,2017-04-26,21:10:00,2017-04-26,21:51:00
1573,/trajectory_follow/ackermann_cmd,2017-04-26 21:51:00,2017-04-26 21:52:00,0.07675030000000001,2017-04-26,21:51:00,2017-04-26,21:52:00
1574,/trajectory_follow/ackermann_cmd,2017-04-26 21:52:00,2017-04-26 21:52:00,0.00149169,2017-04-26,21:52:00,2017-04-26,21:52:00
1575,None,2017-04-26 16:11:00,2017-04-26 16:11:00,0.0,2017-04-26,16:11:00,2017-04-26,16:11:00
1576,/dbw_joy/ackermann_cmd,2017-04-26 16:11:00,2017-04-26 16:28:00,1.77855e-06,2017-04-26,16:11:00,2017-04-26,16:28:00
1577,/trajectory_follow/ackermann_cmd,2017-04-26 16:46:00,2017-04-26 16:50:00,0.318281,2017-04-26,16:46:00,2017-04-26,16:50:00
1578,/trajectory_follow/ackermann_cmd,2017-04-26 16:28:00,2017-04-26 16:46:00,0.199164,2017-04-26,16:28:00,2017-04-26,16:46:00
1579,/dbw_joy/ackermann_cmd,2017-04-26 16:50:00,2017-04-26 16:50:00,0.013846,2017-04-26,16:50:00,2017-04-26,16:50:00
